,id,sentiment,date,ticker,entry_date,exit_date,entry_price,exit_price
0,AAPL_62287,0.4193548387096774,2014-01-28,AAPL,2014-01-29,2014-02-01,15.6882,15.6093
1,AAPL_66092,0.7058823529411765,2014-04-24,AAPL,2014-04-25,2014-04-28,17.6758,18.6012
2,AAPL_69396,0.2571428571428571,2014-07-23,AAPL,2014-07-24,2014-07-27,21.3854,21.824
3,AAPL_73493,0.1538461538461538,2014-10-21,AAPL,2014-10-22,2014-10-25,22.7809,23.2804
4,AAPL_77847,0.0967741935483871,2015-01-28,AAPL,2015-01-29,2015-02-01,25.8754,26.3868
5,AAPL_82491,0.3571428571428571,2015-04-28,AAPL,2015-04-29,2015-05-02,29.0743,28.7402
6,AAPL_86181,0.21875,2015-07-22,AAPL,2015-07-23,2015-07-26,28.2997,27.5338
7,AAPL_91150,0.24,2015-10-28,AAPL,2015-10-29,2015-11-01,26.7386,27.2974
8,AAPL_94882,0.3623188405797101,2016-01-27,AAPL,2016-01-28,2016-01-31,21.2188,21.8171
9,AAPL_99318,0.2,2016-04-27,AAPL,2016-04-28,2016-05-01,22.2032,21.2977
10,AAPL_103533,0.0476190476190476,2016-07-27,AAPL,2016-07-28,2016-07-31,23.5338,24.2689
11,AAPL_107733,0.3333333333333333,2016-10-26,AAPL,2016-10-27,2016-10-30,26.5416,26.1227
12,AAPL_111982,0.3611111111111111,2017-02-01,AAPL,2017-02-02,2017-02-05,29.5976,30.1386
13,AAPL_116922,0.3103448275862069,2017-05-03,AAPL,2017-05-04,2017-05-07,34.0323,35.5402
14,AAPL_121172,0.8181818181818182,2017-08-02,AAPL,2017-08-03,2017-08-06,36.6271,37.044
15,AAPL_125791,0.4814814814814814,2017-11-03,AAPL,2017-11-04,2017-11-07,40.3573,40.9298
16,AAPL_128850,0.5087719298245614,2018-02-02,AAPL,2018-02-03,2018-02-06,37.3829,38.3114
17,AAPL_133406,0.5636363636363636,2018-05-02,AAPL,2018-05-03,2018-05-06,41.5005,43.6882
18,AAPL_137550,0.25,2018-08-01,AAPL,2018-08-02,2018-08-05,47.51,49.5225
19,AAPL_142231,0.3442622950819672,2018-11-02,AAPL,2018-11-03,2018-11-06,48.5623,48.4323
20,AAPL_145443,0.1594202898550724,2019-01-30,AAPL,2019-01-31,2019-02-03,39.623,40.8489
21,AAPL_150423,0.6363636363636364,2019-04-30,AAPL,2019-05-01,2019-05-04,50.2753,49.9373
22,AAPL_154798,0.5471698113207547,2019-07-31,AAPL,2019-08-01,2019-08-04,51.4351,46.4931
23,AAPL_159265,0.4942528735632184,2019-10-31,AAPL,2019-11-01,2019-11-04,60.2329,62.1545
24,AAPL_162777,0.6491228070175439,2020-01-29,AAPL,2020-01-30,2020-02-02,77.6082,74.7295
25,AAPL_167615,0.2765957446808511,2020-05-01,AAPL,2020-05-02,2020-05-05,70.1754,72.2145
26,AAPL_172043,0.0909090909090909,2020-07-31,AAPL,2020-08-01,2020-08-04,105.301,106.74
27,AAPL_176494,0.3939393939393939,2020-10-30,AAPL,2020-10-31,2020-11-03,106.395,107.695
28,ABBV_62709,0.5434782608695652,2014-01-31,ABBV,2014-02-01,2014-02-04,34.3892,33.3819
29,ABBV_69787,0.7215189873417721,2014-07-25,ABBV,2014-07-26,2014-07-29,37.8198,37.8129
30,ABBV_74883,0.3846153846153846,2014-10-31,ABBV,2014-11-01,2014-11-04,45.3902,44.6772
31,ABBV_78222,0.4074074074074074,2015-01-30,ABBV,2015-01-31,2015-02-03,44.1359,44.2859
32,ABBV_82251,0.3333333333333333,2015-04-23,ABBV,2015-04-24,2015-04-27,46.5809,47.0958
33,ABBV_86558,0.0909090909090909,2015-07-24,ABBV,2015-07-25,2015-07-28,49.9537,51.975
34,ABBV_91820,0.08,2015-10-30,ABBV,2015-10-31,2015-11-03,45.3667,45.9758
35,ABBV_95188,-0.0967741935483871,2016-01-29,ABBV,2016-01-30,2016-02-02,40.3051,40.1481
36,ABBV_99838,0.3142857142857143,2016-04-29,ABBV,2016-04-30,2016-05-03,45.6746,46.4073
37,ABBV_104146,0.4210526315789473,2016-07-29,ABBV,2016-07-30,2016-08-02,50.1969,50.6147
38,ABBV_111833,0.3333333333333333,2017-01-27,ABBV,2017-01-28,2017-01-31,46.2886,47.2145
39,ABBV_116271,0.3170731707317073,2017-04-27,ABBV,2017-04-28,2017-05-01,51.5464,51.874
40,ABBV_120755,0.3114754098360656,2017-07-28,ABBV,2017-07-29,2017-08-01,55.5214,55.4116
41,ABBV_124942,0.4098360655737705,2017-10-27,ABBV,2017-10-28,2017-10-31,72.7012,71.5499
42,ABBV_128531,0.3333333333333333,2018-01-26,ABBV,2018-01-27,2018-01-30,97.6536,92.538
43,ABBV_132795,0.1076923076923077,2018-04-26,ABBV,2018-04-27,2018-04-30,78.6113,77.8934
44,ABBV_137196,0.422680412371134,2018-07-27,ABBV,2018-07-28,2018-07-31,73.8968,75.1678
45,ABBV_142323,0.1506849315068493,2018-11-02,ABBV,2018-11-03,2018-11-06,65.4457,68.9126
46,ABBV_145324,0.2470588235294117,2019-01-25,ABBV,2019-01-26,2019-01-29,66.705,64.5973
47,ABBV_149928,-0.0144927536231884,2019-04-25,ABBV,2019-04-26,2019-04-29,67.3121,67.8436
48,ABBV_154423,0.1746031746031746,2019-07-26,ABBV,2019-07-27,2019-07-30,58.2165,57.6242
49,ABBV_159618,0.1940298507462686,2019-11-01,ABBV,2019-11-02,2019-11-05,72.0422,71.2233
50,ABBV_163605,0.2786885245901639,2020-02-07,ABBV,2020-02-08,2020-02-11,81.4653,84.6733
51,ABBV_167729,0.3170731707317073,2020-05-01,ABBV,2020-05-02,2020-05-05,73.6026,76.4223
52,ABBV_176612,0.4878048780487805,2020-10-30,ABBV,2020-10-31,2020-11-03,79.0144,80.7866
53,ABT_62088,0.45,2014-01-22,ABT,2014-01-23,2014-01-26,32.0625,30.6931
54,ABT_65821,0.0632911392405063,2014-04-16,ABT,2014-04-17,2014-04-20,32.5441,32.9276
55,ABT_69142,0.3559322033898305,2014-07-16,ABT,2014-07-17,2014-07-20,35.0749,36.7376
56,ABT_73626,0.3411764705882353,2014-10-22,ABT,2014-10-23,2014-10-26,36.1064,36.3115
57,ABT_78079,0.3653846153846153,2015-01-29,ABT,2015-01-30,2015-02-02,39.2347,39.09
58,ABT_82085,0.1914893617021276,2015-04-22,ABT,2015-04-23,2015-04-26,41.9982,41.2512
59,ABT_86256,0.6417910447761194,2015-07-22,ABT,2015-07-23,2015-07-26,44.8025,44.2436
60,ABT_90573,0.3043478260869565,2015-10-21,ABT,2015-10-22,2015-10-25,37.232,38.2844
61,ABT_95058,-0.0652173913043478,2016-01-28,ABT,2016-01-29,2016-02-01,32.4143,33.967
62,ABT_98891,0.2439024390243902,2016-04-20,ABT,2016-04-21,2016-04-24,38.9146,39.1187
63,ABT_103099,0.1020408163265306,2016-07-20,ABT,2016-07-21,2016-07-24,38.3478,38.8214
64,ABT_107354,0.5813953488372093,2016-10-19,ABT,2016-10-20,2016-10-23,36.0083,36.371
65,ABT_111601,0.6,2017-01-25,ABT,2017-01-26,2017-01-29,36.6504,37.1468
66,ABT_115623,0.0689655172413793,2017-04-19,ABT,2017-04-20,2017-04-23,39.8173,40.2176
67,ABT_119871,0.4545454545454545,2017-07-20,ABT,2017-07-21,2017-07-24,46.492,46.5574
68,ABT_124179,0.4736842105263157,2017-10-18,ABT,2017-10-19,2017-10-22,51.4882,51.6526
69,ABT_128345,0.3333333333333333,2018-01-24,ABT,2018-01-25,2018-01-28,58.471,58.5908
70,ABT_132263,0.2857142857142857,2018-04-18,ABT,2018-04-19,2018-04-22,55.3496,54.7145
71,ABT_136375,0.44,2018-07-18,ABT,2018-07-19,2018-07-22,60.4181,59.0348
72,ABT_140696,0.3783783783783784,2018-10-17,ABT,2018-10-18,2018-10-21,65.2626,64.2688
73,ABT_145182,0.4045801526717557,2019-01-23,ABT,2019-01-24,2019-01-27,65.9612,65.0624
74,ABT_149480,0.3333333333333333,2019-04-17,ABT,2019-04-18,2019-04-21,69.6732,70.4956
75,ABT_153759,0.5384615384615384,2019-07-17,ABT,2019-07-18,2019-07-21,81.9018,83.6389
76,ABT_158205,0.4761904761904761,2019-10-16,ABT,2019-10-17,2019-10-20,77.748,77.852
77,ABT_162582,0.6883116883116883,2020-01-22,ABT,2020-01-23,2020-01-26,87.9106,85.7861
78,ABT_166785,0.1860465116279069,2020-04-16,ABT,2020-04-17,2020-04-20,93.7054,94.2346
79,ABT_171084,0.5774647887323944,2020-07-16,ABT,2020-07-17,2020-07-20,94.4753,95.6426
80,ABT_175619,0.5957446808510638,2020-10-21,ABT,2020-10-22,2020-10-25,103.074,105.571
81,ACN_65659,0.3888888888888889,2014-03-27,ACN,2014-03-28,2014-03-31,67.1653,67.3102
82,ACN_69036,0.4871794871794871,2014-06-26,ACN,2014-06-27,2014-06-30,69.2903,69.077
83,ACN_73244,0.5882352941176471,2014-09-24,ACN,2014-09-25,2014-09-28,68.333,68.2913
84,ACN_77457,0.382716049382716,2014-12-18,ACN,2014-12-19,2014-12-22,78.0768,78.9697
